SEQN,PAXDAYD,PAXDAYWD,PAXSSNDP,PAXMSTD,PAXTMD,PAXAISMD,PAXVMD,PAXMTSD,PAXWWMD,PAXSWMD,PAXNWMD,PAXUMD,PAXLXSD,PAXQFD
73557.0,b'1',b'3',5.397605346934028e-79,b'16:30:00',450.0,915200.0,450.0,4576.4220000000005,237.0,22.0,174.0,17.0,147049.33000000002,5.397605346934028e-79
73557.0,b'2',b'4',2160000.0,b' 0:00:00',1440.0,2989920.0,1440.0,12222.152,744.0,113.0,546.0,37.0,173340.75,5.397605346934028e-79
73557.0,b'3',b'5',9072000.0,b' 0:00:00',1440.0,3307840.0,1440.0,3158.9219999999996,147.0,5.397605346934028e-79,1287.0,6.0,83407.33,5.397605346934028e-79
73557.0,b'4',b'6',15984000.0,b' 0:00:00',1440.0,6860400.0,1440.0,23.641000000000002,5.397605346934028e-79,5.397605346934028e-79,1439.0,1.0,5.397605346934028e-79,5.397605346934028e-79
73557.0,b'5',b'7',22896000.0,b' 0:00:00',1440.0,3968640.0,1440.0,8879.01,504.0,98.0,822.0,16.0,38649.850000000006,5.397605346934028e-79
73557.0,b'6',b'1',29808000.0,b' 0:00:00',1440.0,4450080.0,1440.0,10569.811,547.0,65.0,816.0,12.0,324140.55000000005,5.397605346934028e-79
73557.0,b'7',b'2',36720000.0,b' 0:00:00',1440.0,3826400.0,1440.0,11309.86,628.0,193.0,611.0,8.0,72590.42,5.397605346934028e-79
73557.0,b'8',b'3',43632000.0,b' 0:00:00',1440.0,5132161.0,1440.0,6284.3009999999995,336.0,46.0,1046.0,12.0,141456.05999999997,5.397605346934028e-79
73557.0,b'9',b'4',50544000.0,b' 0:00:00',999.0,4523760.0,999.0,301.33900000000006,14.0,208.0,761.0,16.0,121.24000000000001,5.397605346934028e-79
73558.0,b'1',b'2',5.397605346934028e-79,b'21:30:00',150.0,269680.0,150.0,735.2180000000001,104.0,24.0,5.397605346934028e-79,22.0,5849.379999999999,5.397605346934028e-79
73558.0,b'2',b'3',720000.0,b' 0:00:00',1440.0,2459761.0,1440.0,13011.634000000002,888.0,489.0,5.397605346934028e-79,63.0,76344.32999999999,5.397605346934028e-79
73558.0,b'3',b'4',7632000.0,b' 0:00:00',1440.0,2447280.0,1440.0,9596.280999999999,955.0,401.0,5.397605346934028e-79,84.0,59511.920000000006,5.397605346934028e-79
73558.0,b'4',b'5',14544000.0,b' 0:00:00',1440.0,2712161.0,1440.0,10947.444000000001,925.0,455.0,5.397605346934028e-79,60.0,110947.84,5.397605346934028e-79
73558.0,b'5',b'6',21456000.0,b' 0:00:00',1440.0,2513040.0,1440.0,11485.891000000001,933.0,444.0,5.397605346934028e-79,63.0,79489.98,5.397605346934028e-79
73558.0,b'6',b'7',28368000.0,b' 0:00:00',1440.0,2991521.0,1440.0,10031.166000000001,839.0,519.0,5.397605346934028e-79,82.0,135202.41999999998,5.397605346934028e-79
73558.0,b'7',b'1',35280000.0,b' 0:00:00',1440.0,3317202.0,1440.0,7422.272999999999,656.0,686.0,5.397605346934028e-79,98.0,53655.96999999998,5.397605346934028e-79
73558.0,b'8',b'2',42192000.0,b' 0:00:00',1440.0,2802400.0,1437.0,10865.762999999999,801.0,424.0,140.0,72.0,58722.89000000001,3.0
73558.0,b'9',b'3',49104000.0,b' 0:00:00',1299.0,5169280.0,1299.0,668.75,6.0,8.0,1282.0,3.0,233.46000000000004,5.397605346934028e-79
73559.0,b'1',b'7',5.397605346934028e-79,b'12:30:00',690.0,1681520.0,690.0,4314.283,391.0,262.0,5.397605346934028e-79,37.0,79574.52,5.397605346934028e-79
73559.0,b'2',b'1',3312000.0,b' 0:00:00',1440.0,3178561.0,1440.0,12305.249000000002,847.0,537.0,5.397605346934028e-79,56.0,724683.8999999999,5.397605346934028e-79
73559.0,b'3',b'2',10224000.0,b' 0:00:00',1440.0,2767601.0,1440.0,8515.366000000002,816.0,543.0,5.397605346934028e-79,81.0,146496.87999999998,5.397605346934028e-79
73559.0,b'4',b'3',17136000.0,b' 0:00:00',1440.0,3837201.0,1440.0,8880.162,696.0,661.0,5.397605346934028e-79,83.0,242973.46000000002,5.397605346934028e-79
73559.0,b'5',b'4',24048000.0,b' 0:00:00',1440.0,3350962.0,1440.0,10069.904000000002,767.0,601.0,5.397605346934028e-79,72.0,451418.87,5.397605346934028e-79
73559.0,b'6',b'5',30960000.0,b' 0:00:00',1440.0,3310401.0,1440.0,9502.855000000001,835.0,526.0,5.397605346934028e-79,79.0,317598.77,5.397605346934028e-79
73559.0,b'7',b'6',37872000.0,b' 0:00:00',1440.0,3426000.0,1440.0,9450.254999999997,836.0,517.0,5.397605346934028e-79,87.0,404078.01,5.397605346934028e-79
73559.0,b'8',b'7',44784000.0,b' 0:00:00',1440.0,4042561.0,1440.0,8516.355000000003,718.0,620.0,5.397605346934028e-79,102.0,151651.36000000002,5.397605346934028e-79
73559.0,b'9',b'1',51696000.0,b' 0:00:00',759.0,3461121.0,759.0,499.24100000000004,24.0,333.0,392.0,10.0,416.55,5.397605346934028e-79
73560.0,b'1',b'4',5.397605346934028e-79,b'17:30:00',390.0,394640.0,390.0,7916.819999999999,314.0,5.397605346934028e-79,72.0,4.0,7894.469999999999,5.397605346934028e-79
73560.0,b'2',b'5',1872000.0,b' 0:00:00',1440.0,3376000.0,1437.0,22409.636000000002,738.0,233.0,455.0,11.0,119337.81999999999,3.0
73560.0,b'3',b'6',8784000.0,b' 0:00:00',1440.0,2465040.0,1431.0,23164.131,892.0,524.0,5.397605346934028e-79,15.0,177647.11000000002,9.0
73560.0,b'4',b'7',15696000.0,b' 0:00:00',1440.0,2532880.0,1434.0,19811.150999999998,958.0,437.0,5.397605346934028e-79,39.0,60373.42999999999,6.0
73560.0,b'5',b'1',22608000.0,b' 0:00:00',1440.0,2905600.0,1437.0,23128.467,849.0,565.0,5.397605346934028e-79,23.0,23051.929999999997,3.0
73560.0,b'6',b'2',29520000.0,b' 0:00:00',1440.0,2686640.0,1440.0,22068.344000000005,876.0,536.0,5.397605346934028e-79,28.0,161283.03,5.397605346934028e-79
73560.0,b'7',b'3',36432000.0,b' 0:00:00',1440.0,2565602.0,1434.0,27034.185999999998,893.0,513.0,5.397605346934028e-79,28.0,353856.12,6.0
73560.0,b'8',b'4',43344000.0,b' 0:00:00',1440.0,2450881.0,1437.0,25178.727,955.0,461.0,5.397605346934028e-79,21.0,342744.08999999997,3.0
73560.0,b'9',b'5',50256000.0,b' 0:00:00',1059.0,1822160.0,1053.0,16593.067000000003,578.0,351.0,97.0,27.0,280347.42,6.0
73561.0,b'1',b'2',5.397605346934028e-79,b'12:30:00',690.0,880523.0,687.0,3615.598,372.0,275.0,5.397605346934028e-79,40.0,26964.78,3.0
73561.0,b'2',b'3',3312000.0,b' 0:00:00',1440.0,2741090.0,1440.0,6893.8640000000005,770.0,565.0,5.397605346934028e-79,105.0,6919.719999999999,5.397605346934028e-79
73561.0,b'3',b'4',10224000.0,b' 0:00:00',1440.0,1905274.0,1440.0,8005.736000000001,853.0,508.0,5.397605346934028e-79,79.0,120098.51,5.397605346934028e-79
73561.0,b'4',b'5',17136000.0,b' 0:00:00',1440.0,2502879.0,1440.0,7077.627999999999,791.0,568.0,5.397605346934028e-79,81.0,12740.54,5.397605346934028e-79
73561.0,b'5',b'6',24048000.0,b' 0:00:00',1440.0,2253505.0,1440.0,6346.587000000001,762.0,605.0,5.397605346934028e-79,73.0,55434.11000000001,5.397605346934028e-79
73561.0,b'6',b'7',30960000.0,b' 0:00:00',1440.0,2840901.0,1440.0,7105.798999999999,777.0,565.0,5.397605346934028e-79,98.0,125633.48999999999,5.397605346934028e-79
73561.0,b'7',b'1',37872000.0,b' 0:00:00',1440.0,2662127.0,1440.0,8614.969,795.0,552.0,5.397605346934028e-79,93.0,30237.86,5.397605346934028e-79
73561.0,b'8',b'2',44784000.0,b' 0:00:00',1440.0,1979033.0,1440.0,9414.755999999998,871.0,503.0,5.397605346934028e-79,66.0,206653.59000000005,5.397605346934028e-79
73561.0,b'9',b'3',51696000.0,b' 0:00:00',759.0,2988100.0,759.0,1161.011,130.0,368.0,232.0,29.0,717.79,5.397605346934028e-79
73562.0,b'1',b'4',5.397605346934028e-79,b'17:30:00',390.0,1030080.0,390.0,2344.878,207.0,164.0,5.397605346934028e-79,19.0,1507.7,5.397605346934028e-79
73562.0,b'2',b'5',1872000.0,b' 0:00:00',1440.0,3565760.0,1440.0,15779.043,732.0,663.0,5.397605346934028e-79,45.0,54326.979999999996,5.397605346934028e-79
73562.0,b'3',b'6',8784000.0,b' 0:00:00',1440.0,2081600.0,1437.0,20634.031999999996,1177.0,211.0,5.397605346934028e-79,49.0,40070.85000000001,3.0
73562.0,b'4',b'7',15696000.0,b' 0:00:00',1440.0,3730880.0,1437.0,9204.379,917.0,422.0,5.397605346934028e-79,98.0,6214.52,3.0
73562.0,b'5',b'1',22608000.0,b' 0:00:00',1440.0,3982882.0,1440.0,9212.974000000002,775.0,579.0,5.397605346934028e-79,86.0,14813.08,5.397605346934028e-79
73562.0,b'6',b'2',29520000.0,b' 0:00:00',1440.0,2319440.0,1437.0,20605.020000000004,1044.0,333.0,5.397605346934028e-79,60.0,4712.85,3.0
73562.0,b'7',b'3',36432000.0,b' 0:00:00',1440.0,2991441.0,1440.0,16999.295000000002,894.0,479.0,5.397605346934028e-79,67.0,28382.69,5.397605346934028e-79
73562.0,b'8',b'4',43344000.0,b' 0:00:00',1440.0,2598315.0,1437.0,19879.034000000007,952.0,423.0,5.397605346934028e-79,62.0,28648.839999999997,3.0
