SEQN,PAXDAYD,PAXDAYWD,PAXSSNDP,PAXMSTD,PAXTMD,PAXAISMD,PAXVMD,PAXMTSD,PAXWWMD,PAXSWMD,PAXNWMD,PAXUMD,PAXLXSD,PAXQFD
62165.0,b'3',b'2',10224000.0,b' 0:00:00',1440.0,2137831.0,1440.0,25503.589,1003.0,395.0,5.397605346934028e-79,42.0,363168.81999999995,5.397605346934028e-79
62165.0,b'4',b'3',17136000.0,b' 0:00:00',1440.0,3598305.0,1440.0,13424.922999999995,779.0,624.0,5.397605346934028e-79,37.0,8417.41,5.397605346934028e-79
62165.0,b'5',b'4',24048000.0,b' 0:00:00',1440.0,2688195.0,1440.0,17784.692999999996,1005.0,375.0,5.397605346934028e-79,60.0,264636.63999999996,5.397605346934028e-79
62165.0,b'6',b'5',30960000.0,b' 0:00:00',1440.0,2836468.0,1440.0,17941.407000000003,960.0,431.0,5.397605346934028e-79,49.0,83818.64,5.397605346934028e-79
62165.0,b'7',b'6',37872000.0,b' 0:00:00',1440.0,2068715.0,1440.0,28448.569,1049.0,142.0,226.0,23.0,214925.3,5.397605346934028e-79
62165.0,b'8',b'7',44784000.0,b' 0:00:00',1440.0,2555325.0,1440.0,21920.329,953.0,453.0,5.397605346934028e-79,34.0,194512.65,5.397605346934028e-79
62165.0,b'9',b'1',51696000.0,b' 0:00:00',760.0,2316982.0,760.0,5063.152,333.0,385.0,5.397605346934028e-79,42.0,11820.95,5.397605346934028e-79
62166.0,b'1',b'7',5.397605346934028e-79,b'12:30:00',690.0,676021.0,690.0,13309.05,564.0,117.0,5.397605346934028e-79,9.0,260309.9700000001,5.397605346934028e-79
62166.0,b'2',b'1',3312000.0,b' 0:00:00',1440.0,2608775.0,1437.0,17863.315000000002,945.0,454.0,5.397605346934028e-79,38.0,363805.18000000005,3.0
62166.0,b'3',b'2',10224000.0,b' 0:00:00',1440.0,2270591.0,1422.0,29193.937,1008.0,389.0,5.397605346934028e-79,25.0,456165.12999999995,18.0
62166.0,b'4',b'3',17136000.0,b' 0:00:00',1440.0,2893189.0,1431.0,17722.109,871.0,531.0,5.397605346934028e-79,29.0,243373.01,9.0
62166.0,b'5',b'4',24048000.0,b' 0:00:00',638.0,2011439.0,638.0,4486.346,235.0,378.0,5.397605346934028e-79,25.0,68858.54000000001,5.397605346934028e-79
62168.0,b'1',b'7',5.397605346934028e-79,b'17:30:00',390.0,741335.0,390.0,4371.403,187.0,198.0,5.397605346934028e-79,5.0,1733.12,5.397605346934028e-79
62168.0,b'2',b'1',1872000.0,b' 0:00:00',1440.0,2550544.0,1437.0,22033.772999999997,900.0,524.0,5.397605346934028e-79,13.0,117892.63,3.0
62168.0,b'3',b'2',8784000.0,b' 0:00:00',1440.0,2334407.0,1440.0,23579.219,879.0,542.0,5.397605346934028e-79,19.0,144431.83000000002,5.397605346934028e-79
62168.0,b'4',b'3',15696000.0,b' 0:00:00',1440.0,2142149.0,1437.0,25081.073999999997,906.0,508.0,5.397605346934028e-79,23.0,146107.46999999997,3.0
62168.0,b'5',b'4',22608000.0,b' 0:00:00',1440.0,2481556.0,1434.0,24941.869,884.0,522.0,5.397605346934028e-79,28.0,153922.86999999997,6.0
62168.0,b'6',b'5',29520000.0,b' 0:00:00',1440.0,2410364.0,1440.0,20874.442,926.0,488.0,5.397605346934028e-79,26.0,132002.71,5.397605346934028e-79
62168.0,b'7',b'6',36432000.0,b' 0:00:00',1440.0,1930857.0,1434.0,21366.02900000001,963.0,459.0,5.397605346934028e-79,12.0,105982.13,6.0
62168.0,b'8',b'7',43344000.0,b' 0:00:00',1440.0,1965016.0,1437.0,24506.979999999996,987.0,423.0,5.397605346934028e-79,27.0,111141.82000000002,3.0
62168.0,b'9',b'1',50256000.0,b' 0:00:00',1059.0,3610688.0,1059.0,1371.6099999999997,136.0,386.0,523.0,14.0,424.92,5.397605346934028e-79
62169.0,b'1',b'2',5.397605346934028e-79,b'12:30:00',690.0,485551.0,690.0,8605.261999999999,607.0,50.0,5.397605346934028e-79,33.0,94209.1,5.397605346934028e-79
62169.0,b'2',b'3',3312000.0,b' 0:00:00',1440.0,2391644.0,1437.0,10930.596999999998,1052.0,313.0,5.397605346934028e-79,72.0,41917.77,3.0
62169.0,b'3',b'4',10224000.0,b' 0:00:00',1440.0,3360136.0,1440.0,8258.501,865.0,462.0,5.397605346934028e-79,113.0,250294.32,5.397605346934028e-79
62169.0,b'4',b'5',17136000.0,b' 0:00:00',1440.0,1884630.0,1440.0,16744.103,1097.0,296.0,5.397605346934028e-79,47.0,138540.26000000004,5.397605346934028e-79
62169.0,b'5',b'6',24048000.0,b' 0:00:00',1440.0,2719979.0,1440.0,8900.519,880.0,478.0,5.397605346934028e-79,82.0,20224.679999999997,5.397605346934028e-79
62169.0,b'6',b'7',30960000.0,b' 0:00:00',1440.0,3073569.0,1437.0,7505.4360000000015,801.0,539.0,5.397605346934028e-79,97.0,37604.08,3.0
62169.0,b'7',b'1',37872000.0,b' 0:00:00',1440.0,2089395.0,1440.0,10181.315,1047.0,315.0,5.397605346934028e-79,78.0,11758.89,5.397605346934028e-79
62169.0,b'8',b'2',44784000.0,b' 0:00:00',1440.0,3425764.0,1437.0,7418.084999999999,811.0,551.0,5.397605346934028e-79,75.0,4998.95,3.0
62169.0,b'9',b'3',51696000.0,b' 0:00:00',759.0,2783133.0,759.0,1497.0580000000002,196.0,450.0,71.0,42.0,1683.6600000000003,5.397605346934028e-79
62170.0,b'1',b'1',5.397605346934028e-79,b'12:30:00',690.0,388190.0,690.0,6191.003000000001,654.0,5.397605346934028e-79,5.397605346934028e-79,36.0,65601.03,5.397605346934028e-79
62170.0,b'2',b'2',3312000.0,b' 0:00:00',1440.0,2688752.0,1440.0,15058.924,934.0,469.0,5.397605346934028e-79,37.0,13588.37,5.397605346934028e-79
